tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,0.00258891+0.000805532i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,0.00288375+0.00060701i,347.933
0.001,-0.861983,-0.76241,-0.0035344,0.00300717+0.000483719i,346.728
0.001,-0.793024,-0.701417,-0.0035344,0.0030964+0.000371188i,340.929
0.001,-0.724066,-0.640424,-0.0035344,0.00316505+0.000263312i,333.848
0.001,-0.655107,-0.579431,-0.0035344,0.00321817+0.00015799i,326.146
0.001,-0.586148,-0.518439,-0.0035344,0.00325818+5.43571e-05i,318.038
0.001,-0.51719,-0.457446,-0.0035344,0.00328645-4.79141e-05i,309.618
0.001,-0.448231,-0.396453,-0.0035344,0.00330378-0.000148866i,300.937
0.001,-0.379272,-0.33546,-0.0035344,0.00331069-0.000248368i,292.03
0.001,-0.310314,-0.274467,-0.0035344,0.00330756-0.00034617i,282.924
0.001,-0.241355,-0.213475,-0.0035344,0.00329462-0.000441933i,273.642
0.001,-0.172397,-0.152482,-0.0035344,0.00327209-0.000535246i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,0.00324012-0.000625636i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,0.00319887-0.000712568i,244.98
0.001,0.0344793,0.0304964,-0.0035344,0.00314845-0.000795454i,235.233
0.001,0.103438,0.0914892,-0.0035344,0.00308901-0.000873642i,225.433
0.001,0.172397,0.152482,-0.0035344,0.00302066-0.000946418i,215.606
0.001,0.241355,0.213475,-0.0035344,0.00294355-0.00101299i,205.784
0.001,0.310314,0.274467,-0.0035344,0.00285777-0.0010725i,196.002
0.001,0.379272,0.33546,-0.0035344,0.00276343-0.00112394i,186.299
0.001,0.448231,0.396453,-0.0035344,0.00266059-0.00116621i,176.72
0.001,0.51719,0.457446,-0.0035344,0.00254923-0.001198i,167.324
0.001,0.586148,0.518439,-0.0035344,0.0024292-0.00121769i,158.187
0.001,0.655107,0.579431,-0.0035344,0.00230011-0.00122327i,149.424
0.001,0.724066,0.640424,-0.0035344,0.00216111-0.0012119i,141.231
0.001,0.793024,0.701417,-0.0035344,0.00201039-0.00117927i,134.023
0.001,0.861983,0.76241,-0.0035344,0.0018438-0.00111754i,128.977
0.001,0.930941,0.823402,-0.0035344,0.0016496-0.00100749i,131.942
0.001,0.9999,0.884395,-0.0035344,0.00130661-0.000670239i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,0.0016+0.00158479i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,0.00219527+0.00123406i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,0.00247166+0.00102817i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,0.00268538+0.000845258i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,0.00286254+0.000673325i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,0.00301297+0.00050806i,0.408143
0.00423684,-0.586148,-0.520115,-0.0149747,0.00314154+0.000347532i,0.375058
0.00423684,-0.51719,-0.458925,-0.0149747,0.00325098+0.000190841i,0.345126
0.00423684,-0.448231,-0.397735,-0.0149747,0.00334297+3.763e-05i,0.318282
0.00423684,-0.379272,-0.336545,-0.0149747,0.0034186-0.000112134i,0.294531
0.00423684,-0.310314,-0.275355,-0.0149747,0.00347859-0.000258274i,0.273893
0.00423684,-0.241355,-0.214165,-0.0149747,0.00352348-0.000400459i,0.256385
0.00423684,-0.172397,-0.152975,-0.0149747,0.00355365-0.000538244i,0.242013
0.00423684,-0.103438,-0.091785,-0.0149747,0.00356939-0.000671087i,0.230776
0.00423684,-0.0344793,-0.030595,-0.0149747,0.00357097-0.00079836i,0.222672
0.00423684,0.0344793,0.030595,-0.0149747,0.00355858-0.000919357i,0.217711
0.00423684,0.103438,0.091785,-0.0149747,0.00353243-0.00103329i,0.215929
0.00423684,0.172397,0.152975,-0.0149747,0.00349271-0.0011393i,0.217418
0.00423684,0.241355,0.214165,-0.0149747,0.00343957-0.00123641i,0.222361
0.00423684,0.310314,0.275355,-0.0149747,0.00337317-0.00132355i,0.231088
0.00423684,0.379272,0.336545,-0.0149747,0.00329362-0.0013995i,0.244171
0.00423684,0.448231,0.397735,-0.0149747,0.00320099-0.00146287i,0.26258
0.00423684,0.51719,0.458925,-0.0149747,0.00309521-0.00151199i,0.287966
0.00423684,0.586148,0.520115,-0.0149747,0.00297602-0.00154483i,0.323233
0.00423684,0.655107,0.581305,-0.0149747,0.0028428-0.00155875i,0.373767
0.00423684,0.724066,0.642495,-0.0149747,0.00269424-0.00155003i,0.450546
0.00423684,0.793024,0.703685,-0.0149747,0.00252759-0.00151291i,0.579509
0.00423684,0.861983,0.764875,-0.0149747,0.00233663-0.00143678i,0.839677
0.00423684,0.930941,0.826065,-0.0149747,0.0021037-0.00129539i,1.63832
0.00423684,0.9999,0.887255,-0.0149747,0.00164577-0.000842893i,-3.66501e+08
0.00747368,-0.9999,-0.890115,-0.026415,0.00057337+0.00205513i,-1.75694e+08
0.00747368,-0.930941,-0.828728,-0.026415,0.00149166+0.00162171i,0.209364
0.00747368,-0.861983,-0.76734,-0.026415,0.00193199+0.0013688i,0.0666561
0.00747368,-0.793024,-0.705953,-0.026415,0.00227878+0.00114458i,0.032505
0.00747368,-0.724066,-0.644566,-0.026415,0.00257157+0.000934028i,0.0181291
0.00747368,-0.655107,-0.583179,-0.026415,0.00282539+0.000731737i,0.0102457
0.00747368,-0.586148,-0.521791,-0.026415,0.00304773+0.00053525i,0.00515726
0.00747368,-0.51719,-0.460404,-0.026415,0.00324283+0.00034341i,0.00152891
0.00747368,-0.448231,-0.399017,-0.026415,0.0034133+0.000155733i,-0.0011796
0.00747368,-0.379272,-0.33763,-0.026415,0.00356084-2.78598e-05i,-0.00318578
0.00747368,-0.310314,-0.276243,-0.026415,0.00368659-0.000207186i,-0.00455782
0.00747368,-0.241355,-0.214855,-0.026415,0.00379138-0.000381876i,-0.00528711
0.00747368,-0.172397,-0.153468,-0.026415,0.00387581-0.000551416i,-0.00532096
0.00747368,-0.103438,-0.0920808,-0.026415,0.00394032-0.000715177i,-0.00457727
0.00747368,-0.0344793,-0.0306936,-0.026415,0.00398531-0.000872427i,-0.00294983
0.00747368,0.0344793,0.0306936,-0.026415,0.00401107-0.00102234i,-0.000307482
0.00747368,0.103438,0.0920808,-0.026415,0.0040179-0.00116398i,0.00351207
0.00747368,0.172397,0.153468,-0.026415,0.00400605-0.00129634i,0.00871437
0.00747368,0.241355,0.214855,-0.026415,0.00397577-0.00141827i,0.0155689
0.00747368,0.310314,0.276243,-0.026415,0.00392726-0.00152851i,0.0244434
0.00747368,0.379272,0.33763,-0.026415,0.00386068-0.0016256i,0.0358611
0.00747368,0.448231,0.399017,-0.026415,0.00377613-0.00170789i,0.0506024
0.00747368,0.51719,0.460404,-0.026415,0.00367354-0.00177339i,0.0698922
0.00747368,0.586148,0.521791,-0.026415,0.00355259-0.00181966i,0.0957767
0.00747368,0.655107,0.583179,-0.026415,0.00341246-0.00184351i,0.131957
0.00747368,0.724066,0.644566,-0.026415,0.00325146-0.00184045i,0.185891
0.00747368,0.793024,0.705953,-0.026415,0.00306596-0.00180348i,0.275232
0.00747368,0.861983,0.76734,-0.026415,0.00284779-0.0017197i,0.454389
0.00747368,0.930941,0.828728,-0.026415,0.00257357-0.0015572i,1.01138
0.00747368,0.9999,0.890115,-0.026415,0.00199928-0.00101747i,-5.70858e+08
0.0107105,-0.9999,-0.892975,-0.0378553,-0.000516618+0.00242015i,-3.28767e+08
0.0107105,-0.930941,-0.83139,-0.0378553,0.000754255+0.00192994i,0.330426
0.0107105,-0.861983,-0.769806,-0.0378553,0.00137298+0.00164357i,0.0842458
0.0107105,-0.793024,-0.708221,-0.0378553,0.00186419+0.00138917i,0.0317194
0.0107105,-0.724066,-0.646637,-0.0378553,0.00228216+0.00114977i,0.0127796
0.0107105,-0.655107,-0.585052,-0.0378553,0.00264762+0.000919236i,0.00445292
0.0107105,-0.586148,-0.523468,-0.0378553,0.00297094+0.000694789i,0.000388041
0.0107105,-0.51719,-0.461883,-0.0378553,0.00325799+0.000475122i,-0.00173404
0.0107105,-0.448231,-0.400299,-0.0378553,0.00351241+0.000259693i,-0.00288331
0.0107105,-0.379272,-0.338714,-0.0378553,0.00373658+4.84174e-05i,-0.00348187
