tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,0.000126076-3.88041e-05i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,0.000157053-3.65989e-05i,347.933
0.001,-0.861983,-0.76241,-0.0035344,0.000188243-3.54003e-05i,346.728
0.001,-0.793024,-0.701417,-0.0035344,0.00021951-3.52885e-05i,340.929
0.001,-0.724066,-0.640424,-0.0035344,0.000250746-3.63498e-05i,333.848
0.001,-0.655107,-0.579431,-0.0035344,0.000281846-3.86731e-05i,326.146
0.001,-0.586148,-0.518439,-0.0035344,0.000312709-4.23475e-05i,318.038
0.001,-0.51719,-0.457446,-0.0035344,0.000343231-4.74604e-05i,309.618
0.001,-0.448231,-0.396453,-0.0035344,0.000373313-5.40968e-05i,300.937
0.001,-0.379272,-0.33546,-0.0035344,0.000402853-6.23374e-05i,292.03
0.001,-0.310314,-0.274467,-0.0035344,0.000431754-7.22577e-05i,282.924
0.001,-0.241355,-0.213475,-0.0035344,0.000459918-8.39272e-05i,273.642
0.001,-0.172397,-0.152482,-0.0035344,0.000487252-9.74079e-05i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,0.000513668-0.000112754i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,0.000539079-0.000130008i,244.98
0.001,0.0344793,0.0304964,-0.0035344,0.000563406-0.000149206i,235.233
0.001,0.103438,0.0914892,-0.0035344,0.000586576-0.000170368i,225.433
0.001,0.172397,0.152482,-0.0035344,0.000608523-0.000193505i,215.606
0.001,0.241355,0.213475,-0.0035344,0.00062919-0.000218612i,205.784
0.001,0.310314,0.274467,-0.0035344,0.000648529-0.00024567i,196.002
0.001,0.379272,0.33546,-0.0035344,0.000666504-0.000274644i,186.299
0.001,0.448231,0.396453,-0.0035344,0.000683093-0.000305485i,176.72
0.001,0.51719,0.457446,-0.0035344,0.000698288-0.000338127i,167.324
0.001,0.586148,0.518439,-0.0035344,0.000712096-0.000372489i,158.187
0.001,0.655107,0.579431,-0.0035344,0.000724546-0.000408479i,149.424
0.001,0.724066,0.640424,-0.0035344,0.000735687-0.000445999i,141.231
