tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,0.000841363-2.73589e-06i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,0.000837501-2.74e-06i,347.933
0.001,-0.861983,-0.76241,-0.0035344,0.000833334-2.74357e-06i,346.728
0.001,-0.793024,-0.701417,-0.0035344,0.000828605-2.74646e-06i,340.929
0.001,-0.724066,-0.640424,-0.0035344,0.000823191-2.74858e-06i,333.848
0.001,-0.655107,-0.579431,-0.0035344,0.000817014-2.74988e-06i,326.146
0.001,-0.586148,-0.518439,-0.0035344,0.00081002-2.75033e-06i,318.038
0.001,-0.51719,-0.457446,-0.0035344,0.000802174-2.74992e-06i,309.618
0.001,-0.448231,-0.396453,-0.0035344,0.000793452-2.74863e-06i,300.937
0.001,-0.379272,-0.33546,-0.0035344,0.00078384-2.74648e-06i,292.03
0.001,-0.310314,-0.274467,-0.0035344,0.000773333-2.74346e-06i,282.924
0.001,-0.241355,-0.213475,-0.0035344,0.000761934-2.7396e-06i,273.642
0.001,-0.172397,-0.152482,-0.0035344,0.000749649-2.73491e-06i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,0.000736495-2.72942e-06i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,0.00072249-2.72318e-06i,244.98
0.001,0.0344793,0.0304964,-0.0035344,0.000707659-2.71621e-06i,235.233
0.001,0.103438,0.0914892,-0.0035344,0.000692034-2.70857e-06i,225.433
0.001,0.172397,0.152482,-0.0035344,0.00067565-2.70031e-06i,215.606
0.001,0.241355,0.213475,-0.0035344,0.000658548-2.69149e-06i,205.784
0.001,0.310314,0.274467,-0.0035344,0.000640774-2.68217e-06i,196.002
0.001,0.379272,0.33546,-0.0035344,0.000622381-2.67243e-06i,186.299
0.001,0.448231,0.396453,-0.0035344,0.000603426-2.66235e-06i,176.72
0.001,0.51719,0.457446,-0.0035344,0.000583972-2.65201e-06i,167.324
0.001,0.586148,0.518439,-0.0035344,0.000564086-2.64149e-06i,158.187
0.001,0.655107,0.579431,-0.0035344,0.000543844-2.63089e-06i,149.424
0.001,0.724066,0.640424,-0.0035344,0.000523325-2.62029e-06i,141.231
0.001,0.793024,0.701417,-0.0035344,0.000502615-2.60975e-06i,134.023
0.001,0.861983,0.76241,-0.0035344,0.000481803-2.59934e-06i,128.977
0.001,0.930941,0.823402,-0.0035344,0.000460985-2.58904e-06i,131.942
0.001,0.9999,0.884395,-0.0035344,0.000440276-2.57868e-06i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,0.0007626-1.09586e-05i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,0.000758983-1.09712e-05i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,0.000755089-1.09814e-05i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,0.000750686-1.09889e-05i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,0.000745665-1.09931e-05i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,0.000739957-1.09941e-05i,0.408143
