tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,0.00472118+0.000814673i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,0.00493739+0.000902369i,347.933
0.001,-0.861983,-0.76241,-0.0035344,0.00498069+0.000897489i,346.728
0.001,-0.793024,-0.701417,-0.0035344,0.00498594+0.000872763i,340.929
0.001,-0.724066,-0.640424,-0.0035344,0.0049661+0.000836473i,333.848
0.001,-0.655107,-0.579431,-0.0035344,0.00492586+0.000792135i,326.146
0.001,-0.586148,-0.518439,-0.0035344,0.00486746+0.000741757i,318.038
0.001,-0.51719,-0.457446,-0.0035344,0.00479216+0.000686696i,309.618
0.001,-0.448231,-0.396453,-0.0035344,0.00470073+0.000627976i,300.937
0.001,-0.379272,-0.33546,-0.0035344,0.0045937+0.000566432i,292.03
0.001,-0.310314,-0.274467,-0.0035344,0.00447147+0.000502784i,282.924
0.001,-0.241355,-0.213475,-0.0035344,0.00433435+0.00043768i,273.642
0.001,-0.172397,-0.152482,-0.0035344,0.00418263+0.000371718i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,0.00401655+0.00030546i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,0.00383636+0.000239445i,244.98
0.001,0.0344793,0.0304964,-0.0035344,0.0036423+0.000174189i,235.233
0.001,0.103438,0.0914892,-0.0035344,0.00343458+0.000110189i,225.433
0.001,0.172397,0.152482,-0.0035344,0.00321342+4.79285e-05i,215.606
0.001,0.241355,0.213475,-0.0035344,0.00297902-1.21268e-05i,205.784
0.001,0.310314,0.274467,-0.0035344,0.00273153-6.95265e-05i,196.002
0.001,0.379272,0.33546,-0.0035344,0.00247103-0.000123835i,186.299
0.001,0.448231,0.396453,-0.0035344,0.00219751-0.000174632i,176.72
0.001,0.51719,0.457446,-0.0035344,0.00191079-0.000221502i,167.324
0.001,0.586148,0.518439,-0.0035344,0.00161037-0.00026403i,158.187
0.001,0.655107,0.579431,-0.0035344,0.0012953-0.000301767i,149.424
0.001,0.724066,0.640424,-0.0035344,0.000963733-0.000334174i,141.231
0.001,0.793024,0.701417,-0.0035344,0.000612103-0.000360479i,134.023
0.001,0.861983,0.76241,-0.0035344,0.000232824-0.000379272i,128.977
0.001,0.930941,0.823402,-0.0035344,-0.000194434-0.000386969i,131.942
0.001,0.9999,0.884395,-0.0035344,-0.000865287-0.000351209i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,0.00439632+0.00161938i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,0.00464467+0.00196257i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,0.00473803+0.00207053i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,0.00479444+0.00212681i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,0.0048248+0.00215133i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,0.00483287+0.00215209i,0.408143
0.00423684,-0.586148,-0.520115,-0.0149747,0.00482029+0.00213335i,0.375058
0.00423684,-0.51719,-0.458925,-0.0149747,0.0047879+0.00209775i,0.345126
0.00423684,-0.448231,-0.397735,-0.0149747,0.00473613+0.00204714i,0.318282
0.00423684,-0.379272,-0.336545,-0.0149747,0.00466525+0.00198289i,0.294531
0.00423684,-0.310314,-0.275355,-0.0149747,0.00457542+0.00190611i,0.273893
0.00423684,-0.241355,-0.214165,-0.0149747,0.00446678+0.00181777i,0.256385
0.00423684,-0.172397,-0.152975,-0.0149747,0.00433943+0.0017187i,0.242013
0.00423684,-0.103438,-0.091785,-0.0149747,0.00419352+0.00160971i,0.230776
0.00423684,-0.0344793,-0.030595,-0.0149747,0.00402918+0.00149155i,0.222672
0.00423684,0.0344793,0.030595,-0.0149747,0.00384659+0.00136498i,0.217711
0.00423684,0.103438,0.091785,-0.0149747,0.00364592+0.00123073i,0.215929
0.00423684,0.172397,0.152975,-0.0149747,0.00342739+0.00108958i,0.217418
0.00423684,0.241355,0.214165,-0.0149747,0.00319122+0.0009423i,0.222361
