tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,-0.000140753+3.98715e-05i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,-0.000117218+1.55519e-05i,347.933
0.001,-0.861983,-0.76241,-0.0035344,-9.31072e-05-9.70563e-06i,346.728
0.001,-0.793024,-0.701417,-0.0035344,-6.83591e-05-3.56463e-05i,340.929
0.001,-0.724066,-0.640424,-0.0035344,-4.29451e-05-6.21354e-05i,333.848
0.001,-0.655107,-0.579431,-0.0035344,-1.68466e-05-8.90686e-05i,326.146
0.001,-0.586148,-0.518439,-0.0035344,9.9486e-06-0.000116354i,318.038
0.001,-0.51719,-0.457446,-0.0035344,3.74485e-05-0.000143908i,309.618
0.001,-0.448231,-0.396453,-0.0035344,6.56577e-05-0.000171647i,300.937
0.001,-0.379272,-0.33546,-0.0035344,9.4578e-05-0.000199492i,292.03
0.001,-0.310314,-0.274467,-0.0035344,0.000124209-0.000227361i,282.924
0.001,-0.241355,-0.213475,-0.0035344,0.000154547-0.000255171i,273.642
0.001,-0.172397,-0.152482,-0.0035344,0.000185587-0.000282839i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,0.000217324-0.00031028i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,0.000249748-0.000337403i,244.98
0.001,0.0344793,0.0304964,-0.0035344,0.000282851-0.000364118i,235.233
0.001,0.103438,0.0914892,-0.0035344,0.000316619-0.000390331i,225.433
0.001,0.172397,0.152482,-0.0035344,0.000351043-0.000415946i,215.606
0.001,0.241355,0.213475,-0.0035344,0.000386107-0.000440865i,205.784
0.001,0.310314,0.274467,-0.0035344,0.000421796-0.000464989i,196.002
0.001,0.379272,0.33546,-0.0035344,0.000458097-0.000488218i,186.299
0.001,0.448231,0.396453,-0.0035344,0.000494992-0.000510456i,176.72
0.001,0.51719,0.457446,-0.0035344,0.000532463-0.000531613i,167.324
0.001,0.586148,0.518439,-0.0035344,0.000570494-0.000551606i,158.187
0.001,0.655107,0.579431,-0.0035344,0.000609066-0.000570373i,149.424
0.001,0.724066,0.640424,-0.0035344,0.000648159-0.000587879i,141.231
0.001,0.793024,0.701417,-0.0035344,0.000687751-0.000604139i,134.023
0.001,0.861983,0.76241,-0.0035344,0.000727817-0.000619255i,128.977
0.001,0.930941,0.823402,-0.0035344,0.000768321-0.0006335i,131.942
0.001,0.9999,0.884395,-0.0035344,0.000809199-0.000647678i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,0.000518146+0.000173185i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,0.000537296+0.000142841i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,0.000556739+0.000111358i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,0.000576352+7.89433e-05i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,0.000596077+4.57079e-05i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,0.000615877+1.17426e-05i,0.408143
0.00423684,-0.586148,-0.520115,-0.0149747,0.000635728-2.28698e-05i,0.375058
0.00423684,-0.51719,-0.458925,-0.0149747,0.000655616-5.80495e-05i,0.345126
0.00423684,-0.448231,-0.397735,-0.0149747,0.000675531-9.37167e-05i,0.318282
0.00423684,-0.379272,-0.336545,-0.0149747,0.000695469-0.000129791i,0.294531
0.00423684,-0.310314,-0.275355,-0.0149747,0.00071543-0.000166188i,0.273893
0.00423684,-0.241355,-0.214165,-0.0149747,0.000735415-0.000202822i,0.256385
0.00423684,-0.172397,-0.152975,-0.0149747,0.000755432-0.000239605i,0.242013
0.00423684,-0.103438,-0.091785,-0.0149747,0.000775488-0.000276441i,0.230776
0.00423684,-0.0344793,-0.030595,-0.0149747,0.000795596-0.000313235i,0.222672
0.00423684,0.0344793,0.030595,-0.0149747,0.000815769-0.000349885i,0.217711
0.00423684,0.103438,0.091785,-0.0149747,0.000836025-0.000386286i,0.215929
0.00423684,0.172397,0.152975,-0.0149747,0.000856383-0.000422328i,0.217418
0.00423684,0.241355,0.214165,-0.0149747,0.000876866-0.0004579i,0.222361
0.00423684,0.310314,0.275355,-0.0149747,0.0008975-0.000492888i,0.231088
0.00423684,0.379272,0.336545,-0.0149747,0.000918314-0.000527175i,0.244171
0.00423684,0.448231,0.397735,-0.0149747,0.000939341-0.000560648i,0.26258
0.00423684,0.51719,0.458925,-0.0149747,0.000960616-0.000593197i,0.287966
0.00423684,0.586148,0.520115,-0.0149747,0.000982177-0.000624721i,0.323233
0.00423684,0.655107,0.581305,-0.0149747,0.00100407-0.000655137i,0.373767
0.00423684,0.724066,0.642495,-0.0149747,0.00102633-0.00068439i,0.450546
0.00423684,0.793024,0.703685,-0.0149747,0.001049-0.000712476i,0.579509
