tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,0.000799107-1.32317e-06i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,0.000773329-2.17873e-05i,347.933
0.001,-0.861983,-0.76241,-0.0035344,0.000746375-4.21696e-05i,346.728
0.001,-0.793024,-0.701417,-0.0035344,0.000718035-6.21497e-05i,340.929
0.001,-0.724066,-0.640424,-0.0035344,0.000688222-8.15211e-05i,333.848
0.001,-0.655107,-0.579431,-0.0035344,0.000656898-0.000100106i,326.146
0.001,-0.586148,-0.518439,-0.0035344,0.000624052-0.000117741i,318.038
0.001,-0.51719,-0.457446,-0.0035344,0.000589693-0.000134271i,309.618
0.001,-0.448231,-0.396453,-0.0035344,0.000553846-0.000149547i,300.937
0.001,-0.379272,-0.33546,-0.0035344,0.000516547-0.000163426i,292.03
0.001,-0.310314,-0.274467,-0.0035344,0.000477847-0.000175771i,282.924
0.001,-0.241355,-0.213475,-0.0035344,0.000437801-0.000186449i,273.642
0.001,-0.172397,-0.152482,-0.0035344,0.000396478-0.000195335i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,0.000353949-0.000202307i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,0.000310298-0.000207252i,244.98
0.001,0.0344793,0.0304964,-0.0035344,0.000265612-0.000210065i,235.233
0.001,0.103438,0.0914892,-0.0035344,0.000219985-0.00021065i,225.433
0.001,0.172397,0.152482,-0.0035344,0.000173515-0.000208918i,215.606
0.001,0.241355,0.213475,-0.0035344,0.000126309-0.000204796i,205.784
0.001,0.310314,0.274467,-0.0035344,7.84729e-05-0.000198221i,196.002
0.001,0.379272,0.33546,-0.0035344,3.01198e-05-0.000189145i,186.299
0.001,0.448231,0.396453,-0.0035344,-1.86373e-05-0.000177538i,176.72
0.001,0.51719,0.457446,-0.0035344,-6.76848e-05-0.000163387i,167.324
0.001,0.586148,0.518439,-0.0035344,-0.000116912-0.000146705i,158.187
0.001,0.655107,0.579431,-0.0035344,-0.000166214-0.00012753i,149.424
0.001,0.724066,0.640424,-0.0035344,-0.000215497-0.000105932i,141.231
0.001,0.793024,0.701417,-0.0035344,-0.000264689-8.20199e-05i,134.023
0.001,0.861983,0.76241,-0.0035344,-0.000313754-5.5958e-05i,128.977
0.001,0.930941,0.823402,-0.0035344,-0.000362726-2.79933e-05i,131.942
0.001,0.9999,0.884395,-0.0035344,-0.000411842+1.39212e-06i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,0.000758747-5.46618e-06i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,0.000737804-2.55273e-05i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,0.000715497-4.54398e-05i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,0.000691612-6.48862e-05i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,0.000666062-8.36649e-05i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,0.000638804-0.000101605i,0.408143
0.00423684,-0.586148,-0.520115,-0.0149747,0.000609827-0.000118548i,0.375058
0.00423684,-0.51719,-0.458925,-0.0149747,0.000579137-0.00013435i,0.345126
0.00423684,-0.448231,-0.397735,-0.0149747,0.000546756-0.000148869i,0.318282
0.00423684,-0.379272,-0.336545,-0.0149747,0.000512722-0.000161972i,0.294531
0.00423684,-0.310314,-0.275355,-0.0149747,0.000477081-0.000173532i,0.273893
0.00423684,-0.241355,-0.214165,-0.0149747,0.00043989-0.000183427i,0.256385
0.00423684,-0.172397,-0.152975,-0.0149747,0.000401214-0.000191541i,0.242013
0.00423684,-0.103438,-0.091785,-0.0149747,0.000361127-0.000197765i,0.230776
0.00423684,-0.0344793,-0.030595,-0.0149747,0.00031971-0.000201998i,0.222672
0.00423684,0.0344793,0.030595,-0.0149747,0.00027705-0.000204145i,0.217711
0.00423684,0.103438,0.091785,-0.0149747,0.000233242-0.000204121i,0.215929
0.00423684,0.172397,0.152975,-0.0149747,0.000188385-0.000201851i,0.217418
0.00423684,0.241355,0.214165,-0.0149747,0.000142584-0.000197273i,0.222361
0.00423684,0.310314,0.275355,-0.0149747,9.59466e-05-0.000190334i,0.231088
0.00423684,0.379272,0.336545,-0.0149747,4.85857e-05-0.000180999i,0.244171
0.00423684,0.448231,0.397735,-0.0149747,6.14436e-07-0.000169248i,0.26258
0.00423684,0.51719,0.458925,-0.0149747,-4.7854e-05-0.000155078i,0.287966
0.00423684,0.586148,0.520115,-0.0149747,-9.67093e-05-0.00013851i,0.323233
0.00423684,0.655107,0.581305,-0.0149747,-0.000145848-0.000119589i,0.373767
0.00423684,0.724066,0.642495,-0.0149747,-0.000195181-9.839e-05i,0.450546
