tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.001,-0.9999,-0.884395,-0.0035344,-0.000781486+0.000773536i,-1.12456e+07
0.001,-0.930941,-0.823402,-0.0035344,-0.000524432+0.000613722i,347.933
0.001,-0.861983,-0.76241,-0.0035344,-0.000425109+0.000560263i,346.728
0.001,-0.793024,-0.701417,-0.0035344,-0.000353668+0.000526757i,340.929
0.001,-0.724066,-0.640424,-0.0035344,-0.000297122+0.000504276i,333.848
0.001,-0.655107,-0.579431,-0.0035344,-0.000250664+0.000489385i,326.146
0.001,-0.586148,-0.518439,-0.0035344,-0.000212009+0.000480373i,318.038
0.001,-0.51719,-0.457446,-0.0035344,-0.000179949+0.000476283i,309.618
0.001,-0.448231,-0.396453,-0.0035344,-0.000153828+0.000476552i,300.937
0.001,-0.379272,-0.33546,-0.0035344,-0.000133305+0.000480853i,292.03
0.001,-0.310314,-0.274467,-0.0035344,-0.000118233+0.00048901i,282.924
0.001,-0.241355,-0.213475,-0.0035344,-0.000108595+0.000500951i,273.642
0.001,-0.172397,-0.152482,-0.0035344,-0.000104463+0.000516685i,264.209
0.001,-0.103438,-0.0914892,-0.0035344,-0.000105978+0.00053628i,254.647
0.001,-0.0344793,-0.0304964,-0.0035344,-0.000113333+0.000559855i,244.98
0.001,0.0344793,0.0304964,-0.0035344,-0.000126766+0.000587576i,235.233
0.001,0.103438,0.0914892,-0.0035344,-0.000146559+0.000619651i,225.433
0.001,0.172397,0.152482,-0.0035344,-0.000173034+0.000656335i,215.606
0.001,0.241355,0.213475,-0.0035344,-0.000206565+0.000697932i,205.784
0.001,0.310314,0.274467,-0.0035344,-0.000247584+0.000744809i,196.002
0.001,0.379272,0.33546,-0.0035344,-0.000296601+0.000797414i,186.299
0.001,0.448231,0.396453,-0.0035344,-0.000354237+0.000856301i,176.72
0.001,0.51719,0.457446,-0.0035344,-0.000421274+0.000922185i,167.324
0.001,0.586148,0.518439,-0.0035344,-0.000498743+0.000996021i,158.187
0.001,0.655107,0.579431,-0.0035344,-0.000588089+0.00107915i,149.424
0.001,0.724066,0.640424,-0.0035344,-0.000691491+0.00117362i,141.231
0.001,0.793024,0.701417,-0.0035344,-0.000812588+0.00128276i,134.023
0.001,0.861983,0.76241,-0.0035344,-0.000958461+0.00141302i,128.977
0.001,0.930941,0.823402,-0.0035344,-0.00114738+0.00158047i,131.942
0.001,0.9999,0.884395,-0.0035344,-0.00155574+0.00193338i,-1.12149e+08
0.00423684,-0.9999,-0.887255,-0.0149747,-0.00146054+0.00154271i,-5.20371e+07
0.00423684,-0.930941,-0.826065,-0.0149747,-0.00134023+0.00112111i,0.635487
0.00423684,-0.861983,-0.764875,-0.0149747,-0.00124957+0.000943342i,0.5364
0.00423684,-0.793024,-0.703685,-0.0149747,-0.00116103+0.000812761i,0.485797
0.00423684,-0.724066,-0.642495,-0.0149747,-0.0010728+0.000708954i,0.444682
0.00423684,-0.655107,-0.581305,-0.0149747,-0.000984704+0.000624084i,0.408143
0.00423684,-0.586148,-0.520115,-0.0149747,-0.000896999+0.000554248i,0.375058
0.00423684,-0.51719,-0.458925,-0.0149747,-0.000810159+0.000497245i,0.345126
0.00423684,-0.448231,-0.397735,-0.0149747,-0.000724759+0.000451759i,0.318282
0.00423684,-0.379272,-0.336545,-0.0149747,-0.000641434+0.000416984i,0.294531
0.00423684,-0.310314,-0.275355,-0.0149747,-0.000560862+0.000392433i,0.273893
0.00423684,-0.241355,-0.214165,-0.0149747,-0.000483749+0.000377834i,0.256385
0.00423684,-0.172397,-0.152975,-0.0149747,-0.000410828+0.000373059i,0.242013
0.00423684,-0.103438,-0.091785,-0.0149747,-0.000342849+0.000378092i,0.230776
0.00423684,-0.0344793,-0.030595,-0.0149747,-0.000280584+0.000392993i,0.222672
0.00423684,0.0344793,0.030595,-0.0149747,-0.000224824+0.000417889i,0.217711
0.00423684,0.103438,0.091785,-0.0149747,-0.000176385+0.000452959i,0.215929
0.00423684,0.172397,0.152975,-0.0149747,-0.000136108+0.000498431i,0.217418
0.00423684,0.241355,0.214165,-0.0149747,-0.00010487+0.000554583i,0.222361
0.00423684,0.310314,0.275355,-0.0149747,-8.35977e-05+0.00062175i,0.231088
0.00423684,0.379272,0.336545,-0.0149747,-7.32843e-05+0.000700342i,0.244171
0.00423684,0.448231,0.397735,-0.0149747,-7.50249e-05+0.000790868i,0.26258
0.00423684,0.51719,0.458925,-0.0149747,-9.00684e-05+0.000893993i,0.287966
0.00423684,0.586148,0.520115,-0.0149747,-0.000119909+0.00101062i,0.323233
0.00423684,0.655107,0.581305,-0.0149747,-0.000166455+0.00114208i,0.373767
0.00423684,0.724066,0.642495,-0.0149747,-0.000232357+0.00129041i,0.450546
0.00423684,0.793024,0.703685,-0.0149747,-0.000321756+0.0014592i,0.579509
0.00423684,0.861983,0.764875,-0.0149747,-0.000442299+0.00165553i,0.839677
0.00423684,0.930941,0.826065,-0.0149747,-0.000612945+0.00189812i,1.63832
0.00423684,0.9999,0.887255,-0.0149747,-0.00100903+0.00237024i,-3.66501e+08
0.00747368,-0.9999,-0.890115,-0.026415,-0.00217709+0.00201842i,-1.75694e+08
0.00747368,-0.930941,-0.828728,-0.026415,-0.00221948+0.00141089i,0.209364
0.00747368,-0.861983,-0.76734,-0.026415,-0.00214509+0.00114877i,0.0666561
0.00747368,-0.793024,-0.705953,-0.026415,-0.0020439+0.000953568i,0.032505
0.00747368,-0.724066,-0.644566,-0.026415,-0.00192681+0.000796453i,0.0181291
0.00747368,-0.655107,-0.583179,-0.026415,-0.00179876+0.000666382i,0.0102457
0.00747368,-0.586148,-0.521791,-0.026415,-0.00166286+0.000557876i,0.00515726
0.00747368,-0.51719,-0.460404,-0.026415,-0.00152135+0.000467859i,0.00152891
0.00747368,-0.448231,-0.399017,-0.026415,-0.00137612+0.000394494i,-0.0011796
0.00747368,-0.379272,-0.33763,-0.026415,-0.00122881+0.000336658i,-0.00318578
0.00747368,-0.310314,-0.276243,-0.026415,-0.00108094+0.000293667i,-0.00455782
0.00747368,-0.241355,-0.214855,-0.026415,-0.000933929+0.000265131i,-0.00528711
0.00747368,-0.172397,-0.153468,-0.026415,-0.000789169+0.000250854i,-0.00532096
0.00747368,-0.103438,-0.0920808,-0.026415,-0.000648012+0.000250783i,-0.00457727
0.00747368,-0.0344793,-0.0306936,-0.026415,-0.000511799+0.000264966i,-0.00294983
0.00747368,0.0344793,0.0306936,-0.026415,-0.000381864+0.000293529i,-0.000307482
0.00747368,0.103438,0.0920808,-0.026415,-0.000259547+0.000336658i,0.00351207
0.00747368,0.172397,0.153468,-0.026415,-0.000146203+0.000394592i,0.00871437
0.00747368,0.241355,0.214855,-0.026415,-4.321e-05+0.000467623i,0.0155689
0.00747368,0.310314,0.276243,-0.026415,4.80106e-05+0.000556097i,0.0244434
0.00747368,0.379272,0.33763,-0.026415,0.000125975+0.000660436i,0.0358611
0.00747368,0.448231,0.399017,-0.026415,0.000189102+0.000781162i,0.0506024
0.00747368,0.51719,0.460404,-0.026415,0.000235657+0.000918963i,0.0698922
0.00747368,0.586148,0.521791,-0.026415,0.000263657+0.00107478i,0.0957767
0.00747368,0.655107,0.583179,-0.026415,0.0002707+0.00125002i,0.131957
0.00747368,0.724066,0.644566,-0.026415,0.000253625+0.00144693i,0.185891
0.00747368,0.793024,0.705953,-0.026415,0.000207761+0.00166945i,0.275232
0.00747368,0.861983,0.76734,-0.026415,0.000124911+0.00192572i,0.454389
0.00747368,0.930941,0.828728,-0.026415,-1.43276e-05+0.00223756i,1.01138
0.00747368,0.9999,0.890115,-0.026415,-0.000379258+0.00282555i,-5.70858e+08
0.0107105,-0.9999,-0.892975,-0.0378553,-0.00295955+0.00239278i,-3.28767e+08
0.0107105,-0.930941,-0.83139,-0.0378553,-0.0031871+0.00162472i,0.330426
0.0107105,-0.861983,-0.769806,-0.0378553,-0.00313355+0.00129189i,0.0842458
0.0107105,-0.793024,-0.708221,-0.0378553,-0.00302098+0.00104315i,0.0317194
0.0107105,-0.724066,-0.646637,-0.0378553,-0.00287448+0.000842219i,0.0127796
0.0107105,-0.655107,-0.585052,-0.0378553,-0.00270472+0.000675271i,0.00445292
0.0107105,-0.586148,-0.523468,-0.0378553,-0.0025179+0.000535471i,0.000388041
0.0107105,-0.51719,-0.461883,-0.0378553,-0.00231825+0.000419002i,-0.00173404
0.0107105,-0.448231,-0.400299,-0.0378553,-0.00210905+0.000323603i,-0.00288331
0.0107105,-0.379272,-0.338714,-0.0378553,-0.00189303+0.000247896i,-0.00348187
0.0107105,-0.310314,-0.27713,-0.0378553,-0.00167259+0.000191058i,-0.00369737
0.0107105,-0.241355,-0.215546,-0.0378553,-0.00144994+0.000152617i,-0.00356651
0.0107105,-0.172397,-0.153961,-0.0378553,-0.00122715+0.000132348i,-0.00305188
0.0107105,-0.103438,-0.0923767,-0.0378553,-0.0010062+0.000130192i,-0.0020694
0.0107105,-0.0344793,-0.0307922,-0.0378553,-0.000789036+0.000146209i,-0.000501094
0.0107105,0.0344793,0.0307922,-0.0378553,-0.000577556+0.000180552i,0.00180093
0.0107105,0.103438,0.0923767,-0.0378553,-0.000373652+0.000233437i,0.00501685
0.0107105,0.172397,0.153961,-0.0378553,-0.000179216+0.000305141i,0.00936804
0.0107105,0.241355,0.215546,-0.0378553,3.84338e-06+0.00039599i,0.0151342
0.0107105,0.310314,0.27713,-0.0378553,0.000173585+0.000506372i,0.0226833
0.0107105,0.379272,0.338714,-0.0378553,0.000328005+0.000636747i,0.0325231
0.0107105,0.448231,0.400299,-0.0378553,0.000465007+0.000787686i,0.0453932
0.0107105,0.51719,0.461883,-0.0378553,0.000582338+0.000959932i,0.062437
0.0107105,0.586148,0.523468,-0.0378553,0.000677494+0.00115452i,0.085549
0.0107105,0.655107,0.585052,-0.0378553,0.000747546+0.00137299i,0.118148
0.0107105,0.724066,0.646637,-0.0378553,0.000788792+0.00161784i,0.167144
0.0107105,0.793024,0.708221,-0.0378553,0.000796016+0.00189355i,0.24902
0.0107105,0.861983,0.769806,-0.0378553,0.000760498+0.00220944i,0.415364
0.0107105,0.930941,0.83139,-0.0378553,0.000662615+0.00259093i,0.948759
0.0107105,0.9999,0.892975,-0.0378553,0.000342993+0.00329906i,-6.70283e+08
0.0139474,-0.9999,-0.895834,-0.0492956,-0.00382047+0.00271068i,-2.5079e+08
0.0139474,-0.930941,-0.834053,-0.0492956,-0.00425607+0.00179575i,0.539222
0.0139474,-0.861983,-0.772271,-0.0492956,-0.00422739+0.00139975i,0.131882
0.0139474,-0.793024,-0.710489,-0.0492956,-0.0041039+0.00110354i,0.0502991
0.0139474,-0.724066,-0.648708,-0.0492956,-0.00392648+0.000863962i,0.0217699
0.0139474,-0.655107,-0.586926,-0.0492956,-0.00371217+0.000664609i,0.00963316
0.0139474,-0.586148,-0.525144,-0.0492956,-0.00347056+0.000497421i,0.00399386
0.0139474,-0.51719,-0.463363,-0.0492956,-0.00320806+0.000357929i,0.00126464
0.0139474,-0.448231,-0.401581,-0.0492956,-0.00292948+0.000243501i,-6.56953e-05
0.0139474,-0.379272,-0.339799,-0.0492956,-0.00263873+0.00015256i,-0.00067411
0.0139474,-0.310314,-0.278018,-0.0492956,-0.00233918+8.41746e-05i,-0.000853642
0.0139474,-0.241355,-0.216236,-0.0492956,-0.00203384+3.78306e-05i,-0.000701759
0.0139474,-0.172397,-0.154454,-0.0492956,-0.00172554+1.32967e-05i,-0.000207362
0.0139474,-0.103438,-0.0926725,-0.0492956,-0.00141693+1.05352e-05i,0.000706499
0.0139474,-0.0344793,-0.0308908,-0.0492956,-0.00111058+2.96455e-05i,0.00216158
0.0139474,0.0344793,0.0308908,-0.0492956,-0.000809016+7.08261e-05i,0.00431553
0.0139474,0.103438,0.0926725,-0.0492956,-0.000514705+0.000134349i,0.00736137
0.0139474,0.172397,0.154454,-0.0492956,-0.000230113+0.000220548i,0.0115344
0.0139474,0.241355,0.216236,-0.0492956,4.22883e-05+0.000329809i,0.0171281
0.0139474,0.310314,0.278018,-0.0492956,0.000299999+0.00046258i,0.0245236
0.0139474,0.379272,0.339799,-0.0492956,0.000540462+0.000619387i,0.0342408
0.0139474,0.448231,0.401581,-0.0492956,0.000761029+0.000800873i,0.047031
0.0139474,0.51719,0.463363,-0.0492956,0.000958892+0.00100787i,0.0640513
0.0139474,0.586148,0.525144,-0.0492956,0.00113099+0.00124154i,0.0872177
0.0139474,0.655107,0.586926,-0.0492956,0.00127384+0.0015036i,0.119996
0.0139474,0.724066,0.648708,-0.0492956,0.00138316+0.00179688i,0.169428
0.0139474,0.793024,0.710489,-0.0492956,0.00145318+0.00212648i,0.252452
0.0139474,0.861983,0.772271,-0.0492956,0.00147469+0.00250309i,0.422879
0.0139474,0.930941,0.834053,-0.0492956,0.00142811+0.00295612i,0.985951
0.0139474,0.9999,0.895834,-0.0492956,0.00116794+0.00379055i,-5.86684e+08
0.0171842,-0.9999,-0.898694,-0.0607359,-0.00477002+0.00299085i,6.03175e+08
0.0171842,-0.930941,-0.836715,-0.0607359,-0.00543784+0.00193791i,0.840801
0.0171842,-0.861983,-0.774736,-0.0607359,-0.00543796+0.00148376i,0.19527
0.0171842,-0.793024,-0.712757,-0.0607359,-0.00530363+0.00114411i,0.0741443
0.0171842,-0.724066,-0.650778,-0.0607359,-0.00509324+0.000869235i,0.0327158
0.0171842,-0.655107,-0.5888,-0.0607359,-0.00483085+0.000640334i,0.0152769
0.0171842,-0.586148,-0.526821,-0.0607359,-0.00452983+0.000448205i,0.00723682
0.0171842,-0.51719,-0.464842,-0.0607359,-0.00419895+0.000287784i,0.00337968
0.0171842,-0.448231,-0.402863,-0.0607359,-0.00384471+0.000156124i,0.00151496
0.0171842,-0.379272,-0.340884,-0.0607359,-0.00347229+5.1483e-05i,0.000651172
0.0171842,-0.310314,-0.278905,-0.0607359,-0.00308609-2.71427e-05i,0.000342614
0.0171842,-0.241355,-0.216926,-0.0607359,-0.00269004-8.02804e-05i,0.000418513
0.0171842,-0.172397,-0.154947,-0.0607359,-0.00228775-0.000108139i,0.000858432
0.0171842,-0.103438,-0.0929684,-0.0607359,-0.00188259-0.000110711i,0.00173081
0.0171842,-0.0344793,-0.0309895,-0.0607359,-0.00147784-8.78349e-05i,0.00316193
0.0171842,0.0344793,0.0309895,-0.0607359,-0.00107664-3.92417e-05i,0.00532144
0.0171842,0.103438,0.0929684,-0.0607359,-0.000682101+3.54171e-05i,0.00841865
0.0171842,0.172397,0.154947,-0.0607359,-0.00029731+0.000136553i,0.0127078
0.0171842,0.241355,0.216926,-0.0607359,7.46638e-05+0.000264634i,0.0185034
0.0171842,0.310314,0.278905,-0.0607359,0.000430721+0.000420192i,0.0262104
0.0171842,0.379272,0.340884,-0.0607359,0.000767713+0.00060384i,0.0363769
0.0171842,0.448231,0.402863,-0.0607359,0.0010824+0.00081632i,0.049792
0.0171842,0.51719,0.464842,-0.0607359,0.00137137+0.00105858i,0.0676686
0.0171842,0.586148,0.526821,-0.0607359,0.00163098+0.00133194i,0.0920177
0.0171842,0.655107,0.5888,-0.0607359,0.00185714+0.00163835i,0.126488
0.0171842,0.724066,0.650778,-0.0607359,0.00204499+0.00198101i,0.178531
0.0171842,0.793024,0.712757,-0.0607359,0.00218818+0.00236574i,0.26621
0.0171842,0.861983,0.774736,-0.0607359,0.00227707+0.00280475i,0.447701
0.0171842,0.930941,0.836715,-0.0607359,0.00229238+0.00333188i,1.0645
0.0171842,0.9999,0.898694,-0.0607359,0.00210679+0.00429971i,-2.07419e+08
0.0204211,-0.9999,-0.901554,-0.0721762,-0.00581804+0.00324297i,3.15646e+09
0.0204211,-0.930941,-0.839378,-0.0721762,-0.00674386+0.0020585i,1.26681
0.0204211,-0.861983,-0.777202,-0.0721762,-0.00677678+0.00154997i,0.277327
0.0204211,-0.793024,-0.715025,-0.0721762,-0.00663145+0.00116985i,0.1036
0.0204211,-0.724066,-0.652849,-0.0721762,-0.00638563+0.000862132i,0.0456151
0.0204211,-0.655107,-0.590673,-0.0721762,-0.00607111+0.000605703i,0.0214755
0.0204211,-0.586148,-0.528497,-0.0721762,-0.0057054+0.000390308i,0.0104081
0.0204211,-0.51719,-0.466321,-0.0721762,-0.0052999+0.000210344i,0.00511515
0.0204211,-0.448231,-0.404145,-0.0721762,-0.00486292+6.25914e-05i,0.00255563
0.0204211,-0.379272,-0.341969,-0.0721762,-0.00440105-5.48197e-05i,0.00135108
0.0204211,-0.310314,-0.279793,-0.0721762,-0.00391982-0.000142932i,0.000870731
0.0204211,-0.241355,-0.217616,-0.0721762,-0.00342412-0.000202257i,0.000856313
0.0204211,-0.172397,-0.15544,-0.0721762,-0.0029184-0.000232954i,0.00125059
0.0204211,-0.103438,-0.0932642,-0.0721762,-0.00240686-0.000234944i,0.00211284
0.0204211,-0.0344793,-0.0310881,-0.0721762,-0.00189347-0.000207979i,0.00357572
0.0204211,0.0344793,0.0310881,-0.0721762,-0.00138209-0.000151697i,0.00582413
0.0204211,0.103438,0.0932642,-0.0721762,-0.00087651-6.56504e-05i,0.00908781
0.0204211,0.172397,0.15544,-0.0721762,-0.000380465+5.06735e-05i,0.0136449
0.0204211,0.241355,0.217616,-0.0721762,0.00010232+0.000197847i,0.019837
0.0204211,0.310314,0.279793,-0.0721762,0.000568105+0.000376506i,0.0281001
0.0204211,0.379272,0.341969,-0.0721762,0.0010131+0.000587376i,0.039021
0.0204211,0.448231,0.404145,-0.0721762,0.00143344+0.000831323i,0.053441
0.0204211,0.51719,0.466321,-0.0721762,0.00182507+0.00110944i,0.0726522
0.0204211,0.586148,0.528497,-0.0721762,0.00218372+0.00142323i,0.0987995
0.0204211,0.655107,0.590673,-0.0721762,0.00250465+0.00177492i,0.135786
0.0204211,0.724066,0.652849,-0.0721762,0.00278238+0.00216815i,0.191619
0.0204211,0.793024,0.715025,-0.0721762,0.00301002+0.00260952i,0.285845
0.0204211,0.861983,0.777202,-0.0721762,0.00317754+0.00311297i,0.482202
0.0204211,0.930941,0.839378,-0.0721762,0.00326627+0.00371716i,1.16758
0.0204211,0.9999,0.901554,-0.0721762,0.00317182+0.00482612i,6.29283e+08
0.0236579,-0.9999,-0.904414,-0.0836165,-0.00697457+0.00347263i,8.82436e+09
0.0236579,-0.930941,-0.84204,-0.0836165,-0.00818611+0.00216188i,1.85978
0.0236579,-0.861983,-0.779667,-0.0836165,-0.00825601+0.00160207i,0.38328
0.0236579,-0.793024,-0.717294,-0.0836165,-0.00809935+0.00118388i,0.140175
0.0236579,-0.724066,-0.65492,-0.0836165,-0.00781524+0.000845229i,0.0611356
0.0236579,-0.655107,-0.592547,-0.0836165,-0.00744402+0.000562807i,0.0286618
0.0236579,-0.586148,-0.530174,-0.0836165,-0.00700775+0.000325362i,0.0138862
0.0236579,-0.51719,-0.4678,-0.0836165,-0.00652068+0.000126809i,0.00685529
0.0236579,-0.448231,-0.405427,-0.0836165,-0.00599314-3.63073e-05i,0.0034652
0.0236579,-0.379272,-0.343053,-0.0836165,-0.00543321-0.000165944i,0.00186111
0.0236579,-0.310314,-0.28068,-0.0836165,-0.00484767-0.00026315i,0.00118759
0.0236579,-0.241355,-0.218307,-0.0836165,-0.00424245-0.000328392i,0.00108163
0.0236579,-0.172397,-0.155933,-0.0836165,-0.00362294-0.000361751i,0.00144274
0.0236579,-0.103438,-0.09356,-0.0836165,-0.00299417-0.000363047i,0.00232004
0.0236579,-0.0344793,-0.0311867,-0.0836165,-0.0023609-0.000331924i,0.00385442
0.0236579,0.0344793,0.0311867,-0.0836165,-0.00172776-0.0002679i,0.0062493
0.0236579,0.103438,0.09356,-0.0836165,-0.00109926-0.000170404i,0.00975894
0.0236579,0.172397,0.155933,-0.0836165,-0.000479836-3.87991e-05i,0.0146898
0.0236579,0.241355,0.218307,-0.0836165,0.00012608+0.000127613i,0.0214154
0.0236579,0.310314,0.28068,-0.0836165,0.000714061+0.000329599i,0.0304082
0.0236579,0.379272,0.343053,-0.0836165,0.00127964+0.00056802i,0.0423004
0.0236579,0.448231,0.405427,-0.0836165,0.00181824+0.000843888i,0.0579945
0.0236579,0.51719,0.4678,-0.0836165,0.00232517+0.00115847i,0.0788753
0.0236579,0.586148,0.530174,-0.0836165,0.00279544+0.00151349i,0.107244
0.0236579,0.655107,0.592547,-0.0836165,0.00322367+0.00191149i,0.147299
0.0236579,0.724066,0.65492,-0.0836165,0.00360374+0.0023566i,0.207686
0.0236579,0.793024,0.717294,-0.0836165,0.00392817+0.00285631i,0.309641
0.0236579,0.861983,0.779667,-0.0836165,0.00418666+0.00342644i,0.523198
0.0236579,0.930941,0.84204,-0.0836165,0.0043615+0.00411088i,1.28788
0.0236579,0.9999,0.904414,-0.0836165,0.00437651+0.00536922i,2.15588e+09
0.0268947,-0.9999,-0.907273,-0.0950568,-0.00825021+0.00368328i,1.96507e+10
0.0268947,-0.930941,-0.844703,-0.0950568,-0.00977731+0.00225087i,2.67326
0.0268947,-0.861983,-0.782132,-0.0950568,-0.00988859+0.0016425i,0.519703
0.0268947,-0.793024,-0.719562,-0.0950568,-0.00972011+0.00118833i,0.185725
0.0268947,-0.724066,-0.656991,-0.0950568,-0.00939452+0.000820348i,0.0800076
0.0268947,-0.655107,-0.594421,-0.0950568,-0.00896153+0.000513163i,0.0372015
0.0268947,-0.586148,-0.53185,-0.0950568,-0.0084482+0.00025459i,0.0179044
0.0268947,-0.51719,-0.469279,-0.0950568,-0.00787192+3.81081e-05i,0.00878646
0.0268947,-0.448231,-0.406709,-0.0950568,-0.00724518-0.000139924i,0.00441625
0.0268947,-0.379272,-0.344138,-0.0950568,-0.00657775-0.000281516i,0.00235268
0.0268947,-0.310314,-0.281568,-0.0950568,-0.00587772-0.000387689i,0.00146718
0.0268947,-0.241355,-0.218997,-0.0950568,-0.00515216-0.00045883i,0.0012708
0.0268947,-0.172397,-0.156426,-0.0950568,-0.00440748-0.000494913i,0.00161168
0.0268947,-0.103438,-0.0938559,-0.0950568,-0.00364959-0.000495631i,0.00252725
0.0268947,-0.0344793,-0.0312853,-0.0950568,-0.00288414-0.000460489i,0.00416829
0.0268947,0.0344793,0.0312853,-0.0950568,-0.00211654-0.000388858i,0.00676006
0.0268947,0.103438,0.0938559,-0.0950568,-0.0013521-0.000280022i,0.0105852
0.0268947,0.172397,0.156426,-0.0950568,-0.000596032-0.000133191i,0.0159827
0.0268947,0.241355,0.218997,-0.0950568,0.000146502+5.24824e-05i,0.0233618
0.0268947,0.310314,0.281568,-0.0950568,0.000870327+0.00027792i,0.0332359
0.0268947,0.379272,0.344138,-0.0950568,0.00157023+0.000544144i,0.0462865
0.0268947,0.448231,0.406709,-0.0950568,0.00224093+0.000852341i,0.0634828
0.0268947,0.51719,0.469279,-0.0950568,0.00287698+0.00120398i,0.0863096
0.0268947,0.586148,0.53185,-0.0950568,0.00347269+0.00160104i,0.117236
