tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.0078125,-0.001,-0.000890503,-0.0276125,-0.000471798+0.000264252i,-0.00228634
0.0078125,-0.000857143,-0.000763288,-0.0276125,-0.000471512+0.000264312i,-0.00228096
0.0078125,-0.000714286,-0.000636074,-0.0276125,-0.000471226+0.000264372i,-0.00227558
0.0078125,-0.000571429,-0.000508859,-0.0276125,-0.000470939+0.000264432i,-0.00227019
0.0078125,-0.000428571,-0.000381644,-0.0276125,-0.000470653+0.000264492i,-0.0022648
0.0078125,-0.000285714,-0.000254429,-0.0276125,-0.000470367+0.000264552i,-0.0022594
0.0078125,-0.000142857,-0.000127215,-0.0276125,-0.00047008+0.000264612i,-0.002254
0.0078125,0,0,-0.0276125,-0.000469794+0.000264673i,-0.00224859
0.0078125,0.000142857,0.000127215,-0.0276125,-0.000469508+0.000264733i,-0.00224318
0.0078125,0.000285714,0.000254429,-0.0276125,-0.000469222+0.000264793i,-0.00223776
0.0078125,0.000428571,0.000381644,-0.0276125,-0.000468936+0.000264854i,-0.00223235
0.0078125,0.000571429,0.000508859,-0.0276125,-0.000468649+0.000264914i,-0.00222692
0.0078125,0.000714286,0.000636074,-0.0276125,-0.000468363+0.000264975i,-0.00222149
0.0078125,0.000857143,0.000763288,-0.0276125,-0.000468077+0.000265035i,-0.00221606
0.0078125,0.001,0.000890503,-0.0276125,-0.000467791+0.000265096i,-0.00221062
0.0117188,-0.001,-0.000893955,-0.0414187,-0.000768988+0.000124781i,0.00158118
0.0117188,-0.000857143,-0.000766247,-0.0414187,-0.000768493+0.000124856i,0.00158577
0.0117188,-0.000714286,-0.000638539,-0.0414187,-0.000767999+0.000124931i,0.00159036
0.0117188,-0.000571429,-0.000510831,-0.0414187,-0.000767504+0.000125006i,0.00159495
0.0117188,-0.000428571,-0.000383123,-0.0414187,-0.000767009+0.000125081i,0.00159955
0.0117188,-0.000285714,-0.000255416,-0.0414187,-0.000766515+0.000125156i,0.00160415
0.0117188,-0.000142857,-0.000127708,-0.0414187,-0.00076602+0.000125232i,0.00160876
0.0117188,0,0,-0.0414187,-0.000765526+0.000125307i,0.00161337
0.0117188,0.000142857,0.000127708,-0.0414187,-0.000765032+0.000125382i,0.00161798
0.0117188,0.000285714,0.000255416,-0.0414187,-0.000764537+0.000125458i,0.00162259
0.0117188,0.000428571,0.000383123,-0.0414187,-0.000764043+0.000125533i,0.00162721
0.0117188,0.000571429,0.000510831,-0.0414187,-0.000763548+0.000125609i,0.00163183
0.0117188,0.000714286,0.000638539,-0.0414187,-0.000763054+0.000125685i,0.00163646
0.0117188,0.000857143,0.000766247,-0.0414187,-0.00076256+0.000125761i,0.00164109
0.0117188,0.001,0.000893955,-0.0414187,-0.000762066+0.000125836i,0.00164572
0.015625,-0.001,-0.000897406,-0.055225,-0.00112499-1.24562e-05i,0.0037425
0.015625,-0.000857143,-0.000769205,-0.055225,-0.00112426-1.23637e-05i,0.0037469
0.015625,-0.000714286,-0.000641004,-0.055225,-0.00112353-1.22711e-05i,0.0037513
0.015625,-0.000571429,-0.000512804,-0.055225,-0.00112281-1.21784e-05i,0.00375571
0.015625,-0.000428571,-0.000384603,-0.055225,-0.00112208-1.20856e-05i,0.00376012
0.015625,-0.000285714,-0.000256402,-0.055225,-0.00112135-1.19927e-05i,0.00376454
0.015625,-0.000142857,-0.000128201,-0.055225,-0.00112062-1.18997e-05i,0.00376896
0.015625,0,0,-0.055225,-0.00111989-1.18065e-05i,0.00377338
0.015625,0.000142857,0.000128201,-0.055225,-0.00111916-1.17133e-05i,0.00377781
0.015625,0.000285714,0.000256402,-0.055225,-0.00111843-1.162e-05i,0.00378224
0.015625,0.000428571,0.000384603,-0.055225,-0.0011177-1.15266e-05i,0.00378667
0.015625,0.000571429,0.000512804,-0.055225,-0.00111697-1.14331e-05i,0.00379111
0.015625,0.000714286,0.000641004,-0.055225,-0.00111624-1.13394e-05i,0.00379555
0.015625,0.000857143,0.000769205,-0.055225,-0.00111551-1.12457e-05i,0.00379999
0.015625,0.001,0.000897406,-0.055225,-0.00111478-1.11519e-05i,0.00380444
0.0195312,-0.001,-0.000900858,-0.0690312,-0.00154245-0.000152153i,0.0044558
0.0195312,-0.000857143,-0.000772164,-0.0690312,-0.00154146-0.000152042i,0.00446035
0.0195312,-0.000714286,-0.00064347,-0.0690312,-0.00154046-0.00015193i,0.00446491
0.0195312,-0.000571429,-0.000514776,-0.0690312,-0.00153947-0.000151819i,0.00446947
0.0195312,-0.000428571,-0.000386082,-0.0690312,-0.00153847-0.000151707i,0.00447403
0.0195312,-0.000285714,-0.000257388,-0.0690312,-0.00153748-0.000151595i,0.0044786
0.0195312,-0.000142857,-0.000128694,-0.0690312,-0.00153648-0.000151483i,0.00448317
0.0195312,0,0,-0.0690312,-0.00153549-0.000151371i,0.00448774
0.0195312,0.000142857,0.000128694,-0.0690312,-0.00153449-0.000151259i,0.00449232
0.0195312,0.000285714,0.000257388,-0.0690312,-0.0015335-0.000151146i,0.0044969
0.0195312,0.000428571,0.000386082,-0.0690312,-0.0015325-0.000151034i,0.00450148
0.0195312,0.000571429,0.000514776,-0.0690312,-0.00153151-0.000150921i,0.00450607
0.0195312,0.000714286,0.00064347,-0.0690312,-0.00153051-0.000150808i,0.00451066
0.0195312,0.000857143,0.000772164,-0.0690312,-0.00152952-0.000150695i,0.00451526
0.0195312,0.001,0.000900858,-0.0690312,-0.00152852-0.000150582i,0.00451986
0.0234375,-0.001,-0.000904309,-0.0828375,-0.00202605-0.000296886i,0.00487196
0.0234375,-0.000857143,-0.000775122,-0.0828375,-0.00202475-0.000296756i,0.00487684
0.0234375,-0.000714286,-0.000645935,-0.0828375,-0.00202346-0.000296625i,0.00488174
0.0234375,-0.000571429,-0.000516748,-0.0828375,-0.00202216-0.000296494i,0.00488663
0.0234375,-0.000428571,-0.000387561,-0.0828375,-0.00202087-0.000296363i,0.00489154
0.0234375,-0.000285714,-0.000258374,-0.0828375,-0.00201957-0.000296232i,0.00489644
0.0234375,-0.000142857,-0.000129187,-0.0828375,-0.00201828-0.0002961i,0.00490135
0.0234375,0,0,-0.0828375,-0.00201699-0.000295969i,0.00490627
0.0234375,0.000142857,0.000129187,-0.0828375,-0.00201569-0.000295837i,0.00491118
0.0234375,0.000285714,0.000258374,-0.0828375,-0.0020144-0.000295705i,0.00491611
0.0234375,0.000428571,0.000387561,-0.0828375,-0.0020131-0.000295573i,0.00492103
0.0234375,0.000571429,0.000516748,-0.0828375,-0.00201181-0.000295441i,0.00492596
0.0234375,0.000714286,0.000645935,-0.0828375,-0.00201051-0.000295309i,0.0049309
0.0234375,0.000857143,0.000775122,-0.0828375,-0.00200922-0.000295177i,0.00493584
0.0234375,0.001,0.000904309,-0.0828375,-0.00200793-0.000295044i,0.00494078
