tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.0078125,-0.001,-0.000890503,-0.0276125,0.000458857-0.000234956i,-0.00228634
0.0078125,-0.000857143,-0.000763288,-0.0276125,0.000459075-0.000234994i,-0.00228096
0.0078125,-0.000714286,-0.000636074,-0.0276125,0.000459294-0.000235031i,-0.00227558
0.0078125,-0.000571429,-0.000508859,-0.0276125,0.000459512-0.000235069i,-0.00227019
0.0078125,-0.000428571,-0.000381644,-0.0276125,0.000459731-0.000235107i,-0.0022648
0.0078125,-0.000285714,-0.000254429,-0.0276125,0.000459949-0.000235145i,-0.0022594
0.0078125,-0.000142857,-0.000127215,-0.0276125,0.000460168-0.000235183i,-0.002254
0.0078125,0,0,-0.0276125,0.000460386-0.000235221i,-0.00224859
0.0078125,0.000142857,0.000127215,-0.0276125,0.000460605-0.000235258i,-0.00224318
0.0078125,0.000285714,0.000254429,-0.0276125,0.000460823-0.000235296i,-0.00223776
0.0078125,0.000428571,0.000381644,-0.0276125,0.000461041-0.000235334i,-0.00223235
0.0078125,0.000571429,0.000508859,-0.0276125,0.00046126-0.000235372i,-0.00222692
0.0078125,0.000714286,0.000636074,-0.0276125,0.000461478-0.00023541i,-0.00222149
0.0078125,0.000857143,0.000763288,-0.0276125,0.000461696-0.000235448i,-0.00221606
0.0078125,0.001,0.000890503,-0.0276125,0.000461915-0.000235486i,-0.00221062
0.0117188,-0.001,-0.000893955,-0.0414187,0.000399131-0.000279909i,0.00158118
0.0117188,-0.000857143,-0.000766247,-0.0414187,0.000399461-0.000279945i,0.00158577
0.0117188,-0.000714286,-0.000638539,-0.0414187,0.000399791-0.000279981i,0.00159036
0.0117188,-0.000571429,-0.000510831,-0.0414187,0.000400122-0.000280017i,0.00159495
0.0117188,-0.000428571,-0.000383123,-0.0414187,0.000400452-0.000280053i,0.00159955
0.0117188,-0.000285714,-0.000255416,-0.0414187,0.000400782-0.00028009i,0.00160415
0.0117188,-0.000142857,-0.000127708,-0.0414187,0.000401112-0.000280126i,0.00160876
0.0117188,0,0,-0.0414187,0.000401442-0.000280162i,0.00161337
0.0117188,0.000142857,0.000127708,-0.0414187,0.000401772-0.000280199i,0.00161798
0.0117188,0.000285714,0.000255416,-0.0414187,0.000402102-0.000280235i,0.00162259
0.0117188,0.000428571,0.000383123,-0.0414187,0.000402432-0.000280271i,0.00162721
0.0117188,0.000571429,0.000510831,-0.0414187,0.000402762-0.000280308i,0.00163183
