tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.0078125,-0.001,-0.000890503,-0.0276125,0.000112718+0.00394748i,-0.00228634
0.0078125,-0.000857143,-0.000763288,-0.0276125,0.000112349+0.00394799i,-0.00228096
0.0078125,-0.000714286,-0.000636074,-0.0276125,0.000111979+0.00394849i,-0.00227558
0.0078125,-0.000571429,-0.000508859,-0.0276125,0.000111609+0.003949i,-0.00227019
0.0078125,-0.000428571,-0.000381644,-0.0276125,0.000111239+0.0039495i,-0.0022648
0.0078125,-0.000285714,-0.000254429,-0.0276125,0.00011087+0.00395i,-0.0022594
0.0078125,-0.000142857,-0.000127215,-0.0276125,0.0001105+0.00395051i,-0.002254
0.0078125,0,0,-0.0276125,0.00011013+0.00395101i,-0.00224859
0.0078125,0.000142857,0.000127215,-0.0276125,0.000109761+0.00395152i,-0.00224318
0.0078125,0.000285714,0.000254429,-0.0276125,0.000109391+0.00395202i,-0.00223776
0.0078125,0.000428571,0.000381644,-0.0276125,0.000109022+0.00395252i,-0.00223235
0.0078125,0.000571429,0.000508859,-0.0276125,0.000108652+0.00395303i,-0.00222692
0.0078125,0.000714286,0.000636074,-0.0276125,0.000108282+0.00395353i,-0.00222149
0.0078125,0.000857143,0.000763288,-0.0276125,0.000107913+0.00395404i,-0.00221606
0.0078125,0.001,0.000890503,-0.0276125,0.000107544+0.00395454i,-0.00221062
0.0117188,-0.001,-0.000893955,-0.0414187,0.00151152+0.00498602i,0.00158118
0.0117188,-0.000857143,-0.000766247,-0.0414187,0.0015111+0.00498662i,0.00158577
0.0117188,-0.000714286,-0.000638539,-0.0414187,0.00151068+0.00498722i,0.00159036
0.0117188,-0.000571429,-0.000510831,-0.0414187,0.00151027+0.00498782i,0.00159495
0.0117188,-0.000428571,-0.000383123,-0.0414187,0.00150985+0.00498843i,0.00159955
0.0117188,-0.000285714,-0.000255416,-0.0414187,0.00150944+0.00498903i,0.00160415
0.0117188,-0.000142857,-0.000127708,-0.0414187,0.00150902+0.00498963i,0.00160876
0.0117188,0,0,-0.0414187,0.00150861+0.00499023i,0.00161337
0.0117188,0.000142857,0.000127708,-0.0414187,0.00150819+0.00499083i,0.00161798
0.0117188,0.000285714,0.000255416,-0.0414187,0.00150778+0.00499143i,0.00162259
0.0117188,0.000428571,0.000383123,-0.0414187,0.00150736+0.00499203i,0.00162721
0.0117188,0.000571429,0.000510831,-0.0414187,0.00150695+0.00499263i,0.00163183
0.0117188,0.000714286,0.000638539,-0.0414187,0.00150653+0.00499323i,0.00163646
0.0117188,0.000857143,0.000766247,-0.0414187,0.00150612+0.00499383i,0.00164109
0.0117188,0.001,0.000893955,-0.0414187,0.0015057+0.00499443i,0.00164572
0.015625,-0.001,-0.000897406,-0.055225,0.00312828+0.00595657i,0.0037425
0.015625,-0.000857143,-0.000769205,-0.055225,0.00312782+0.00595727i,0.0037469
0.015625,-0.000714286,-0.000641004,-0.055225,0.00312737+0.00595796i,0.0037513
0.015625,-0.000571429,-0.000512804,-0.055225,0.00312691+0.00595866i,0.00375571
0.015625,-0.000428571,-0.000384603,-0.055225,0.00312645+0.00595936i,0.00376012
0.015625,-0.000285714,-0.000256402,-0.055225,0.00312599+0.00596005i,0.00376454
0.015625,-0.000142857,-0.000128201,-0.055225,0.00312554+0.00596075i,0.00376896
0.015625,0,0,-0.055225,0.00312508+0.00596144i,0.00377338
0.015625,0.000142857,0.000128201,-0.055225,0.00312462+0.00596214i,0.00377781
0.015625,0.000285714,0.000256402,-0.055225,0.00312416+0.00596284i,0.00378224
0.015625,0.000428571,0.000384603,-0.055225,0.00312371+0.00596353i,0.00378667
0.015625,0.000571429,0.000512804,-0.055225,0.00312325+0.00596423i,0.00379111
0.015625,0.000714286,0.000641004,-0.055225,0.00312279+0.00596492i,0.00379555
0.015625,0.000857143,0.000769205,-0.055225,0.00312234+0.00596562i,0.00379999
0.015625,0.001,0.000897406,-0.055225,0.00312188+0.00596632i,0.00380444
0.0195312,-0.001,-0.000900858,-0.0690312,0.00497792+0.0068778i,0.0044558
0.0195312,-0.000857143,-0.000772164,-0.0690312,0.00497743+0.00687859i,0.00446035
0.0195312,-0.000714286,-0.00064347,-0.0690312,0.00497693+0.00687938i,0.00446491
0.0195312,-0.000571429,-0.000514776,-0.0690312,0.00497644+0.00688017i,0.00446947
0.0195312,-0.000428571,-0.000386082,-0.0690312,0.00497594+0.00688096i,0.00447403
0.0195312,-0.000285714,-0.000257388,-0.0690312,0.00497545+0.00688175i,0.0044786
0.0195312,-0.000142857,-0.000128694,-0.0690312,0.00497495+0.00688254i,0.00448317
0.0195312,0,0,-0.0690312,0.00497446+0.00688333i,0.00448774
0.0195312,0.000142857,0.000128694,-0.0690312,0.00497396+0.00688412i,0.00449232
0.0195312,0.000285714,0.000257388,-0.0690312,0.00497347+0.00688491i,0.0044969
