tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.0078125,-0.001,-0.000890503,-0.0276125,0.000570659-1.85021e-05i,-0.00228634
0.0078125,-0.000857143,-0.000763288,-0.0276125,0.000570634-1.8502e-05i,-0.00228096
0.0078125,-0.000714286,-0.000636074,-0.0276125,0.00057061-1.85019e-05i,-0.00227558
0.0078125,-0.000571429,-0.000508859,-0.0276125,0.000570585-1.85017e-05i,-0.00227019
0.0078125,-0.000428571,-0.000381644,-0.0276125,0.00057056-1.85016e-05i,-0.0022648
0.0078125,-0.000285714,-0.000254429,-0.0276125,0.000570535-1.85015e-05i,-0.0022594
0.0078125,-0.000142857,-0.000127215,-0.0276125,0.00057051-1.85013e-05i,-0.002254
0.0078125,0,0,-0.0276125,0.000570485-1.85012e-05i,-0.00224859
0.0078125,0.000142857,0.000127215,-0.0276125,0.00057046-1.85011e-05i,-0.00224318
0.0078125,0.000285714,0.000254429,-0.0276125,0.000570435-1.85009e-05i,-0.00223776
0.0078125,0.000428571,0.000381644,-0.0276125,0.00057041-1.85008e-05i,-0.00223235
0.0078125,0.000571429,0.000508859,-0.0276125,0.000570385-1.85007e-05i,-0.00222692
0.0078125,0.000714286,0.000636074,-0.0276125,0.000570361-1.85005e-05i,-0.00222149
0.0078125,0.000857143,0.000763288,-0.0276125,0.000570336-1.85004e-05i,-0.00221606
0.0078125,0.001,0.000890503,-0.0276125,0.000570311-1.85003e-05i,-0.00221062
0.0117188,-0.001,-0.000893955,-0.0414187,0.000486704-2.51788e-05i,0.00158118
0.0117188,-0.000857143,-0.000766247,-0.0414187,0.000486682-2.51786e-05i,0.00158577
0.0117188,-0.000714286,-0.000638539,-0.0414187,0.000486661-2.51784e-05i,0.00159036
0.0117188,-0.000571429,-0.000510831,-0.0414187,0.000486639-2.51782e-05i,0.00159495
0.0117188,-0.000428571,-0.000383123,-0.0414187,0.000486618-2.5178e-05i,0.00159955
0.0117188,-0.000285714,-0.000255416,-0.0414187,0.000486596-2.51778e-05i,0.00160415
0.0117188,-0.000142857,-0.000127708,-0.0414187,0.000486575-2.51775e-05i,0.00160876
0.0117188,0,0,-0.0414187,0.000486553-2.51773e-05i,0.00161337
0.0117188,0.000142857,0.000127708,-0.0414187,0.000486531-2.51771e-05i,0.00161798
0.0117188,0.000285714,0.000255416,-0.0414187,0.00048651-2.51769e-05i,0.00162259
0.0117188,0.000428571,0.000383123,-0.0414187,0.000486488-2.51767e-05i,0.00162721
0.0117188,0.000571429,0.000510831,-0.0414187,0.000486467-2.51765e-05i,0.00163183
0.0117188,0.000714286,0.000638539,-0.0414187,0.000486445-2.51762e-05i,0.00163646
0.0117188,0.000857143,0.000766247,-0.0414187,0.000486423-2.5176e-05i,0.00164109
0.0117188,0.001,0.000893955,-0.0414187,0.000486402-2.51758e-05i,0.00164572
0.015625,-0.001,-0.000897406,-0.055225,0.000403487-2.99422e-05i,0.0037425
0.015625,-0.000857143,-0.000769205,-0.055225,0.000403469-2.99419e-05i,0.0037469
0.015625,-0.000714286,-0.000641004,-0.055225,0.00040345-2.99416e-05i,0.0037513
0.015625,-0.000571429,-0.000512804,-0.055225,0.000403432-2.99413e-05i,0.00375571
0.015625,-0.000428571,-0.000384603,-0.055225,0.000403414-2.99409e-05i,0.00376012
0.015625,-0.000285714,-0.000256402,-0.055225,0.000403395-2.99406e-05i,0.00376454
0.015625,-0.000142857,-0.000128201,-0.055225,0.000403377-2.99403e-05i,0.00376896
0.015625,0,0,-0.055225,0.000403359-2.994e-05i,0.00377338
0.015625,0.000142857,0.000128201,-0.055225,0.00040334-2.99397e-05i,0.00377781
0.015625,0.000285714,0.000256402,-0.055225,0.000403322-2.99394e-05i,0.00378224
0.015625,0.000428571,0.000384603,-0.055225,0.000403304-2.99391e-05i,0.00378667
0.015625,0.000571429,0.000512804,-0.055225,0.000403285-2.99388e-05i,0.00379111
0.015625,0.000714286,0.000641004,-0.055225,0.000403267-2.99384e-05i,0.00379555
0.015625,0.000857143,0.000769205,-0.055225,0.000403248-2.99381e-05i,0.00379999
0.015625,0.001,0.000897406,-0.055225,0.00040323-2.99378e-05i,0.00380444
0.0195312,-0.001,-0.000900858,-0.0690312,0.000322414-3.26458e-05i,0.0044558
