tau,z,PK,QQ,scattering_amp,|scattering_amp|2
0.0078125,-0.001,-0.000890503,-0.0276125,0.00404895-0.000954432i,-0.00228634
0.0078125,-0.000857143,-0.000763288,-0.0276125,0.00404901-0.000954749i,-0.00228096
0.0078125,-0.000714286,-0.000636074,-0.0276125,0.00404907-0.000955065i,-0.00227558
0.0078125,-0.000571429,-0.000508859,-0.0276125,0.00404914-0.000955382i,-0.00227019
0.0078125,-0.000428571,-0.000381644,-0.0276125,0.0040492-0.000955698i,-0.0022648
0.0078125,-0.000285714,-0.000254429,-0.0276125,0.00404926-0.000956015i,-0.0022594
0.0078125,-0.000142857,-0.000127215,-0.0276125,0.00404932-0.000956331i,-0.002254
0.0078125,0,0,-0.0276125,0.00404938-0.000956648i,-0.00224859
0.0078125,0.000142857,0.000127215,-0.0276125,0.00404944-0.000956964i,-0.00224318
0.0078125,0.000285714,0.000254429,-0.0276125,0.00404951-0.000957281i,-0.00223776
0.0078125,0.000428571,0.000381644,-0.0276125,0.00404957-0.000957597i,-0.00223235
0.0078125,0.000571429,0.000508859,-0.0276125,0.00404963-0.000957913i,-0.00222692
0.0078125,0.000714286,0.000636074,-0.0276125,0.00404969-0.00095823i,-0.00222149
0.0078125,0.000857143,0.000763288,-0.0276125,0.00404975-0.000958546i,-0.00221606
0.0078125,0.001,0.000890503,-0.0276125,0.00404981-0.000958862i,-0.00221062
0.0117188,-0.001,-0.000893955,-0.0414187,0.00464247-0.00103687i,0.00158118
0.0117188,-0.000857143,-0.000766247,-0.0414187,0.00464263-0.00103725i,0.00158577
0.0117188,-0.000714286,-0.000638539,-0.0414187,0.00464279-0.00103763i,0.00159036
0.0117188,-0.000571429,-0.000510831,-0.0414187,0.00464295-0.00103801i,0.00159495
0.0117188,-0.000428571,-0.000383123,-0.0414187,0.00464311-0.00103839i,0.00159955
0.0117188,-0.000285714,-0.000255416,-0.0414187,0.00464327-0.00103877i,0.00160415
0.0117188,-0.000142857,-0.000127708,-0.0414187,0.00464343-0.00103915i,0.00160876
0.0117188,0,0,-0.0414187,0.00464359-0.00103953i,0.00161337
0.0117188,0.000142857,0.000127708,-0.0414187,0.00464375-0.00103991i,0.00161798
0.0117188,0.000285714,0.000255416,-0.0414187,0.00464391-0.00104029i,0.00162259
0.0117188,0.000428571,0.000383123,-0.0414187,0.00464407-0.00104067i,0.00162721
0.0117188,0.000571429,0.000510831,-0.0414187,0.00464423-0.00104105i,0.00163183
0.0117188,0.000714286,0.000638539,-0.0414187,0.00464438-0.00104143i,0.00163646
0.0117188,0.000857143,0.000766247,-0.0414187,0.00464454-0.00104181i,0.00164109
0.0117188,0.001,0.000893955,-0.0414187,0.0046447-0.00104219i,0.00164572
0.015625,-0.001,-0.000897406,-0.055225,0.00531449-0.00109122i,0.0037425
0.015625,-0.000857143,-0.000769205,-0.055225,0.00531476-0.00109166i,0.0037469
0.015625,-0.000714286,-0.000641004,-0.055225,0.00531502-0.0010921i,0.0037513
0.015625,-0.000571429,-0.000512804,-0.055225,0.00531528-0.00109254i,0.00375571
0.015625,-0.000428571,-0.000384603,-0.055225,0.00531554-0.00109298i,0.00376012
0.015625,-0.000285714,-0.000256402,-0.055225,0.0053158-0.00109342i,0.00376454
0.015625,-0.000142857,-0.000128201,-0.055225,0.00531607-0.00109386i,0.00376896
0.015625,0,0,-0.055225,0.00531633-0.0010943i,0.00377338
0.015625,0.000142857,0.000128201,-0.055225,0.00531659-0.00109474i,0.00377781
0.015625,0.000285714,0.000256402,-0.055225,0.00531685-0.00109518i,0.00378224
0.015625,0.000428571,0.000384603,-0.055225,0.00531711-0.00109562i,0.00378667
0.015625,0.000571429,0.000512804,-0.055225,0.00531737-0.00109606i,0.00379111
0.015625,0.000714286,0.000641004,-0.055225,0.00531763-0.0010965i,0.00379555
0.015625,0.000857143,0.000769205,-0.055225,0.00531789-0.00109694i,0.00379999
0.015625,0.001,0.000897406,-0.055225,0.00531815-0.00109738i,0.00380444
0.0195312,-0.001,-0.000900858,-0.0690312,0.00607386-0.00111235i,0.0044558
0.0195312,-0.000857143,-0.000772164,-0.0690312,0.00607423-0.00111284i,0.00446035
0.0195312,-0.000714286,-0.00064347,-0.0690312,0.00607459-0.00111334i,0.00446491
0.0195312,-0.000571429,-0.000514776,-0.0690312,0.00607496-0.00111384i,0.00446947
0.0195312,-0.000428571,-0.000386082,-0.0690312,0.00607533-0.00111433i,0.00447403
0.0195312,-0.000285714,-0.000257388,-0.0690312,0.00607569-0.00111483i,0.0044786
0.0195312,-0.000142857,-0.000128694,-0.0690312,0.00607606-0.00111533i,0.00448317
0.0195312,0,0,-0.0690312,0.00607643-0.00111582i,0.00448774
0.0195312,0.000142857,0.000128694,-0.0690312,0.00607679-0.00111632i,0.00449232
0.0195312,0.000285714,0.000257388,-0.0690312,0.00607716-0.00111682i,0.0044969
0.0195312,0.000428571,0.000386082,-0.0690312,0.00607752-0.00111732i,0.00450148
0.0195312,0.000571429,0.000514776,-0.0690312,0.00607789-0.00111781i,0.00450607
0.0195312,0.000714286,0.00064347,-0.0690312,0.00607825-0.00111831i,0.00451066
0.0195312,0.000857143,0.000772164,-0.0690312,0.00607862-0.00111881i,0.00451526
0.0195312,0.001,0.000900858,-0.0690312,0.00607898-0.0011193i,0.00451986
0.0234375,-0.001,-0.000904309,-0.0828375,0.00693015-0.00109418i,0.00487196
